partner_org,2018_dist,2018_red,2018_per,2017_dist,2017_red,2017_per,2016_dist,2016_red,2016_per,2015_dist,2015_red,2015_per,2014_dist,2014_red,2014_per
VYFS_total,1300,812,0.62,1000,700,0.7,700,486,0.6943,600,549,0.915,600,119,0.2
VYFS_latinx,200,140,,,,,,,,,,,,,
VYFS_family,350,184,,,,,,,,,,,,,
VYFS_regular,750,462,,,,,,,,,,,,,
IFCH,1000,630,0.63,1000,746,0.75,700,562,0.8029,600,364,0.6067,300,141,0.47
com_dinner,400,114,0.29,400,290,0.73,400,184,0.46,650,218,0.3354,100,94,0.94
VCCC,1300,1028,0.79,1000,960,0.96,800,568,0.71,800,799,0.9988,100,100,1
senior_center,1600,1350,0.84,1500,1488,0.99,700,686,0.98,700,647,0.9243,600,549,0.92
DOVE,600,390,0.65,600,284,0.47,400,274,0.685,250,202,0.808,,,
la_comunidad,400,178,0.45,400,254,0.64,310,176,0.5677,250,179,0.716,,,
VHH,1200,972,0.81,1000,688,0.69,700,692,0.9886,450,372,0.8267,,,
food_bank,700,350,0.5,500,362,0.72,,,,,,,,,
